2238,15,537,15,7,0
30236,6442,6015,8337,91,28
76242,28667,18213,33509,526,298
76830,29534,22710,69499,531,490
34765,17702,14720,32119,132,426
20774,12915,11817,20460,101,368
18812,11645,13201,17812,130,296
20001,14177,16316,19109,222,275
19547,14912,17209,20637,191,278
16380,15436,17712,19342,240,216
16328,17821,19175,18239,330,187
22997,25799,25175,22183,479,168
39265,45199,46600,34042,669,201
36236,66682,58411,42774,438,336
20401,52254,37512,25999,182,258
16347,36369,29420,15529,119,162
17826,42030,40222,15342,117,219
11372,43348,26033,12280,97,228
3891,15508,7642,4349,29,98
279,4395,884,1058,0,20
0,11,0,0,0,0
